City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Pangnirtung,20,CA,1581187681,74,66.15,-65.71,-23.8,4.56
1,Markivka,100,UA,1581187681,82,49.52,39.57,14.77,9.22
2,Kapaa,20,US,1581187430,63,22.08,-159.32,69.8,8.05
3,Cherskiy,95,RU,1581187681,75,68.75,161.3,-32.13,3.2
4,Souillac,75,MU,1581187618,88,-20.52,57.52,77.0,10.29
5,Paamiut,96,GL,1581187681,67,61.99,-49.67,9.66,12.68
6,Codrington,0,AU,1581187681,84,-38.27,141.97,64.94,18.75
7,Puerto Ayora,20,EC,1581187681,70,-0.74,-90.35,84.2,17.22
8,Bredasdorp,37,ZA,1581187619,77,-34.53,20.04,70.0,8.05
9,Cape Town,50,ZA,1581187681,82,-33.93,18.42,75.0,12.75
10,Hobart,90,AU,1581187502,67,-42.88,147.33,57.2,4.7
11,Hong Kong,40,HK,1581187433,63,22.29,114.16,62.6,12.75
12,Udachny,90,RU,1581187619,84,66.42,112.4,1.4,6.71
13,Barrow,1,US,1581187682,98,71.29,-156.79,-36.4,4.7
14,Vaini,20,TO,1581187682,94,-21.2,-175.2,78.8,6.93
15,Gardenstown,40,GB,1581187682,81,57.67,-2.34,46.4,32.21
16,Ilulissat,75,GL,1581187682,71,69.22,-51.1,6.8,4.7
17,Jalu,1,LY,1581187682,50,29.03,21.55,56.12,6.6
18,Pangoa,99,PE,1581187682,94,-12.12,-73.0,76.26,0.74
19,Manacapuru,75,BR,1581187682,58,-3.3,-60.62,87.8,6.93
20,Ostrovnoy,88,RU,1581187682,95,68.05,39.51,24.57,13.62
21,Rikitea,62,PF,1581187682,78,-23.12,-134.97,78.12,16.55
22,Emba,100,KZ,1581187620,83,48.83,58.14,18.79,9.91
23,Comodoro Rivadavia,75,AR,1581187331,67,-45.87,-67.5,62.6,8.05
24,Sola,100,VU,1581187620,79,-13.88,167.55,83.35,13.38
25,Thompson,90,CA,1581187381,77,55.74,-97.86,5.0,11.41
26,Yellowknife,75,CA,1581187426,83,62.46,-114.35,-5.01,9.17
27,Mahebourg,75,MU,1581187620,88,-20.41,57.7,77.0,10.29
28,Upernavik,100,GL,1581187683,96,72.79,-56.15,-21.62,10.8
29,Palimbang,18,PH,1581187683,78,6.21,124.19,82.11,7.61
30,Bluff,99,NZ,1581187621,94,-46.6,168.33,52.0,15.01
31,Cascais,75,PT,1581187621,87,38.7,-9.42,57.2,11.41
32,Narsaq,75,GL,1581187621,52,60.92,-46.05,15.8,6.93
33,Bambous Virieux,75,MU,1581187621,88,-20.34,57.76,77.0,10.29
34,Dikson,94,RU,1581187621,94,73.51,80.55,-8.7,16.62
35,Grand-Lahou,5,CI,1581187621,79,5.14,-5.02,83.17,15.26
36,Mar del Plata,75,AR,1581187621,68,-38.0,-57.56,69.01,14.99
37,Tasiilaq,90,GL,1581187621,92,65.61,-37.64,30.2,41.38
38,Lerwick,55,GB,1581187621,75,60.15,-1.15,44.6,35.57
39,La Ronge,90,CA,1581187621,84,55.1,-105.28,5.0,8.05
40,Ponta do Sol,40,PT,1581187621,72,32.67,-17.1,66.2,4.7
41,Busselton,10,AU,1581187622,59,-33.65,115.33,55.0,11.39
42,Omboue,72,GA,1581187622,93,-1.57,9.26,77.0,5.1
43,Port Elizabeth,19,ZA,1581187622,94,-33.92,25.57,69.8,12.75
44,Pisco,45,PE,1581187622,30,-13.7,-76.22,75.0,9.17
45,Krutinka,95,RU,1581187622,96,56.01,71.51,9.3,6.85
46,Tuktoyaktuk,75,CA,1581187622,65,69.45,-133.04,-34.6,3.36
47,Punta Arenas,0,CL,1581187622,48,-53.15,-70.92,73.4,8.05
48,Saldanha,42,ZA,1581187622,49,-33.01,17.94,73.4,9.17
49,Jutai,65,BR,1581187622,52,-5.18,-68.9,89.2,2.21
50,East Wenatchee Bench,20,US,1581187622,65,47.43,-120.28,44.6,14.99
51,Katsuura,20,JP,1581187622,51,35.13,140.3,39.2,14.99
52,Buala,96,SB,1581187623,83,-8.14,159.59,80.13,11.9
53,Praia da Vitoria,40,PT,1581187623,68,38.73,-27.07,66.2,20.47
54,Lorengau,98,PG,1581187623,76,-2.02,147.27,82.76,13.69
55,Ko Samui,26,TH,1581187623,71,9.54,99.94,80.37,9.51
56,Manta,75,EC,1581187623,70,-0.95,-80.73,86.0,9.17
57,Port Alfred,57,ZA,1581187623,96,-33.59,26.89,66.99,1.99
58,Taltal,4,CL,1581187623,67,-25.4,-70.48,68.22,8.57
59,Kavieng,100,PG,1581187623,74,-2.57,150.8,83.17,10.0
60,Castro,39,BR,1581187623,79,-24.79,-50.01,76.28,4.61
61,Zeya,100,RU,1581187623,97,53.75,127.27,-14.28,6.46
62,Geraldton,90,AU,1581187623,68,-28.77,114.6,71.6,17.22
63,Esperance,90,AU,1581187623,77,-33.87,121.9,68.0,21.92
